,emp_length Encoded,home_ownership Encoded,purpose Encoded,addr_state Encoded,loan_amnt,int_rate,installment,annual_inc,dti,delinq_2yrs,mths_since_last_delinq,open_acc,mths_since_first_cr_line,term,revol_bal,total_acc,out_prncp,predicted_loan_status
4436,1,0,2,4,29100.0,19.72,766.45,66000.0,22.13,0.0,0.0,9.0,282.4,60.0,17555.0,19.0,25661.63,bad
4457,1,4,2,4,4000.0,13.11,134.99,46000.0,22.25,3.0,10.0,7.0,297.2,36.0,1592.0,12.0,0.0,bad
4479,10,4,2,5,5000.0,16.29,176.51,39500.0,30.05,0.0,36.0,11.0,334.0,36.0,16147.0,23.0,0.0,bad
4519,7,4,1,4,28000.0,21.49,1061.96,220000.0,1.4,0.0,36.0,9.0,464.8,36.0,9703.0,28.0,0.0,bad
4530,2,4,2,9,9000.0,19.72,333.19,38000.0,15.16,0.0,0.0,13.0,220.7,36.0,7564.0,20.0,0.0,bad
4665,1,0,2,37,17500.0,11.14,381.72,90000.0,22.63,0.0,65.0,11.0,313.9,60.0,42571.0,35.0,0.0,bad
4766,1,0,2,10,14825.0,12.12,493.26,59000.0,30.37,1.0,19.0,15.0,325.2,36.0,18565.0,35.0,0.0,bad
4769,7,0,10,29,18225.0,19.05,668.52,47000.0,16.39,1.0,8.0,9.0,290.2,36.0,23512.0,14.0,0.0,bad
4831,6,0,2,1,17050.0,20.49,456.39,38000.0,26.11,0.0,0.0,10.0,243.9,60.0,11907.0,26.0,0.0,bad
4862,1,0,2,0,2500.0,15.8,87.65,67000.0,25.7,0.0,54.0,12.0,340.9,36.0,17577.0,20.0,0.0,bad
4938,5,4,1,28,13200.0,16.29,465.97,60000.0,10.52,0.0,0.0,10.0,235.5,36.0,13815.0,15.0,0.0,bad
4953,0,4,2,12,12000.0,12.12,399.26,45000.0,17.16,0.0,0.0,9.0,409.3,36.0,12530.0,13.0,0.0,bad
4977,7,4,2,37,25475.0,14.33,874.77,58000.0,28.45,0.0,0.0,12.0,311.4,36.0,23225.0,42.0,0.0,bad
4983,10,4,8,9,4500.0,19.72,166.6,38000.0,29.84,0.0,45.0,10.0,283.2,36.0,10826.0,15.0,0.0,bad
5059,5,0,2,9,19075.0,7.62,594.41,75000.0,28.83,0.0,0.0,11.0,318.0,36.0,10847.0,30.0,0.0,bad
5125,1,3,2,12,20000.0,15.8,484.24,70000.0,14.33,1.0,22.0,11.0,481.4,60.0,18672.0,29.0,17672.28,bad
5334,10,4,2,25,8000.0,16.29,282.41,35000.0,22.26,1.0,12.0,6.0,346.4,36.0,13290.0,23.0,0.0,bad
5387,2,4,2,9,16675.0,23.28,472.77,40000.0,32.92,1.0,13.0,19.0,328.2,60.0,18506.0,39.0,0.0,bad
5399,11,4,5,37,16000.0,14.33,549.42,57000.0,19.26,0.0,0.0,13.0,323.1,36.0,12229.0,21.0,13787.36,bad
